factor_category,factor_name,base_rate,sample_size,source_url,source_type,odds_multiplier,multiplier_basis,notes
Base Rate,"NDA/BLA filed → approval (BIO 2011-2020, n=1453)",0.906,1453,https://www.bio.org/clinical-development-success-rates-2011-2020,"BIO / Biomedtracker / Informa Pharma Intelligence, Clinical Development Success Rates 2011-2020",1.0,Population base rate for filed applications,Verified external base rate: 90.6% of filed NDA/BLA approved. Used as prior with k=3 pseudo-observations for empirical Bayes shrinkage. Blank beats guessed.
Base Rate,Phase 3 → NDA/BLA filing,0.578,1000,https://www.bio.org/clinical-development-success-rates-2011-2020,BIO 2011-2020,1.0,Phase 3 to filing base rate,57.8% of Phase 3 programs file NDA/BLA. Used for pipeline progression scoring.
Base Rate,Phase 3 → Approval (LOA),0.524,1000,https://www.bio.org/clinical-development-success-rates-2011-2020,BIO 2011-2020,1.0,Likelihood of Approval from Phase 3,52.4% LOA from Phase 3 to approval. Critical for trial endpoint analysis.
Base Rate,CRL published subset → later ORIG approval (≥2y old),0.88,342,data/crl_year_base_rates.csv,"Project v23 CRL base rates, Wilson 95% lower bound 84.1%",1.0,"Observed cohort rate, not per-decision probability","301/342 = 88.0% of published CRL letters at least 2 years old have later ORIG approval observed in committed payloads. Maturity-restricted cohort, not a census. Flagged as observation, not probability."
Review Pathway,Priority Review,,,https://www.fda.gov/drugs/development-approval-process-drugs/priority-review,FDA Priority Review designation,1.25,FDA judges drug offers significant improvement — positive signal,"Priority Review = FDA commits to 6-month review vs 10-month standard. Signals FDA sees potential significant improvement. 1.25x odds multiplier, documented in decision engine."
Review Pathway,Breakthrough Therapy,,,https://www.fda.gov/patients/fast-track-breakthrough-therapy-accelerated-approval-priority-review/breakthrough-therapy,FDA Breakthrough Therapy designation,1.3,Preliminary clinical evidence of substantial improvement — strong predictor,"Breakthrough requires preliminary evidence of substantial improvement over available therapy. Strong predictor of approval, 1.30x odds."
Review Pathway,Accelerated Approval,,,https://www.fda.gov/patients/fast-track-breakthrough-therapy-accelerated-approval-priority-review/accelerated-approval,FDA Accelerated Approval + HHS OIG OEI-01-21-00401 (13% withdrawn),0.9,"Surrogate endpoint, confirmatory trial risk — treated as risk factor","Accelerated granted on surrogate endpoint that confirmatory trial must verify. Several accelerated approvals withdrawn (Ukoniq, Relyvrio, Pepaxto, Exkivity). HHS OIG 13% withdrawn. 0.90x risk factor, -0.5 weight in pathway quality score."
Review Pathway,Single-arm registrational,,,https://www.fda.gov/media/151710/download,"FDA guidance, ODAC precedent",0.8,"No randomized comparator, ODAC pushback","Single-arm trials lack randomized comparator, often face ODAC scrutiny. 0.80x odds."
Company Track Record,1 prior approval,,,data/company_scores.csv,"Project company scores, empirical",1.05,Experienced regulatory/CMC organization,"Repeat approvals = experienced regulatory/CMC. 1.05x for 1 prior, 1.12x for 2+."
Company Track Record,2+ prior approvals,,,data/company_scores.csv,Project company scores,1.12,Highly experienced organization,2+ prior approvals indicates highly experienced regulatory organization.
Company Track Record,1 prior CRL,,,data/fda_crl_master.csv,"CRL master, project data",0.75,Prior CRL raises probability of review issues recurring,"Prior CRL indicates potential CMC, clinical, or manufacturing issues that may recur."
Company Track Record,2+ prior CRLs,,,data/fda_crl_master.csv,CRL master,0.55,Strong negative signal,"2+ CRLs strong negative signal, especially if same indication."
Company Track Record,Repeat CRLs same indication (e.g. Aldeyra/Reproxalap 3 CRLs),,1,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=214598,"Aldeyra Reproxalap case, 3 CRLs same indication, stock collapsed ~70% Mar 17 2026",0.35,Very strong negative signal,"Aldeyra/Reproxalap: 3 CRLs same indication, litigation, score E. Repeat CRLs same indication is very strong negative signal."
Advisory Committee,Favorable AdComm vote,,,https://www.fda.gov/advisory-committees,"FDA AdComm precedent, historical",1.2,Favorable vote followed by approval in large majority,Historical: favorable AdComm vote followed by FDA approval in large majority. 1.20x.
Advisory Committee,Adverse AdComm vote,,,https://www.fda.gov/advisory-committees,FDA AdComm precedent,0.45,Adverse vote FDA follows more often than not,Adverse AdComm vote: FDA follows negative recommendation more often than not. 0.45x.
Advisory Committee,AdComm convened (contested benefit-risk),,,https://www.fda.gov/advisory-committees,FDA AdComm,0.85,Convening committee signals contested benefit-risk,Convening AdComm itself signals FDA sees contested benefit-risk. 0.85x.
Clinical Trial Design,Randomized controlled Phase 3 with OS/PFS primary,,,https://clinicaltrials.gov,"ClinicalTrials.gov, FDA guidance",1.15,Gold standard design,Randomized controlled trial with overall survival or progression-free survival primary endpoint is gold standard. 1.15x.
Clinical Trial Design,Surrogate endpoint only (e.g. ORR),,,https://www.fda.gov/media/151710/download,FDA surrogate endpoint guidance,0.9,Surrogate requires confirmation,"Objective response rate (ORR) as sole primary, without OS/PFS, requires confirmatory trial. Risk factor."
