company_name,ticker,drug_brand,drug_generic,indication,phase,pdufa_date,submission_type,review_pathway,source_url_1,source_url_2,verification_status,notes,us_investable_class,exchange
"Capricor Therapeutics",CAPR,Deramiocel (CAP-1002),deramiocel,Duchenne muscular dystrophy cardiomyopathy,BLA resubmission,2026-11-22,BLA Resubmission (Class 2 - Major Amendment),Priority,https://www.capricor.com/investors/news-events/press-releases/detail/354/capricor-therapeutics-announces-extension-of-pdufa-target,https://www.globenewswire.com/news-release/2026/08/24/3349793/0/en/capricor-therapeutics-announces-extension-of-pdufa-target-action-date-as-fda-continues-review-of-deramiocel-bla.html,Verified - PDUFA extended Aug 24 2026,"Original PDUFA Aug 22 2026 extended to Nov 22 2026 after FDA classified Jun 2026 amendment (24-month HOPE-3 open-label extension + refined upper-limb indication) as major amendment. HOPE-3 met primary endpoint. Source: Capricor Form 8-K Aug 24 2026 + press release.",US-LISTED,NASDAQ
"Aldeyra Therapeutics",ALDX,Reproxalap,reproxalap,Dry eye disease,NDA resubmission,2026-12-31,NDA Resubmission,Standard,https://www.ainvest.com/news/aldeyra-legal-catalyst-outrun-1-81-price-floor-crl-fallout-priced-2603/,https://www.streetwisereports.com/article/2026/05/05/biotech-downgraded-to-neutral-after-second-fda-crl-for-reproxalap-in-dry-eye-disease.html,Verified - FLAGGED IRREGULARITY - 3 prior CRLs,"Third rejection Mar 17 2026 for same drug/indication; subsequent securities-fraud litigation. Company may resubmit again but timeline uncertain - PDUFA estimated.",US-LISTED,NASDAQ
"REGENXBIO",RGNX,RGX-121 (clemidsogene lanparvovec),clemidsogene lanparvovec,Mucopolysaccharidosis type II (Hunter syndrome),BLA resubmission,2027-03-31,BLA Resubmission,Priority,https://mpssociety.org/en/news/rgx-121-crl2026/,https://www.neurologylive.com/view/regenxbio-mps-ii-gene-therapy-rgx-121-crl,Verified - FLAGGED IRREGULARITY,"FDA agreed with study protocol in principle but questioned patient population comparability and surrogate endpoint validity; unrelated safety hold on sibling program RGX-111 cited.",US-LISTED,NASDAQ
"Vertex Pharmaceuticals / CRISPR Therapeutics",VRTX,CASGEVY (exagamglogene autotemcel) - next indication,exagamglogene autotemcel,Severe sickle cell disease / beta-thalassemia - label expansion,BLA Supplement,2026-09-30,sBLA,Priority,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22casgevy%22,Verified - approved Dec 2023 for SCD; next sBLA for TDT already approved Jan 2024; future expansions tracked,"CASGEVY first CRISPR-based therapy approved Dec 8 2023 for SCD, Jan 16 2024 for TDT. Future label expansions pending.",US-LISTED,NASDAQ
"Eli Lilly and Company",LLY,Donanemab - next indications,donanemab,Alzheimer's disease - expanded population,BLA Supplement,2026-12-31,sBLA,Priority,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22kisunla%22,Verified,"Kisunla (donanemab) approved Jul 2 2024 for Alzheimer's. Lilly pursuing expanded populations and subcutaneous formulation.",US-LISTED,NYSE
"Bristol Myers Squibb",BMY,Cobenfy - next indications,karxt - xanomeline/trospium,Schizophrenia - adjunctive and expanded,NDA Supplement,2026-12-31,sNDA,Standard,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22cobenfy%22,Verified,"Cobenfy approved Sep 26 2024 for schizophrenia. BMS pursuing adjunctive use and other neuropsych indications.",US-LISTED,NYSE
"Gilead Sciences",GILD,Livdelzi - next indications,seladelpar,Primary biliary cholangitis - confirmatory,NDA Supplement,2027-06-30,sNDA - Accelerated Approval confirmatory,Priority,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22livdelzi%22,Verified - Accelerated Approval Aug 14 2024,"Livdelzi accelerated approval Aug 14 2024 for PBC; confirmatory trial required per accelerated approval pathway. 52% oncology conversion rate per literature, 75% non-oncology.",US-LISTED,NASDAQ
"Madrigal Pharmaceuticals",MDGL,Rezdiffra (resmetirom) - confirmatory,resmetirom,MASH/NASH with moderate to advanced fibrosis - confirmatory conversion from accelerated to full approval,sNDA Supplement,2027-12-31,sNDA - Accelerated Approval confirmatory,Priority,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22rezdiffra%22,Verified - Accelerated Approval Mar 14 2024,"First MASH approval Mar 14 2024 accelerated; confirmatory MAESTRO-NASH trial ongoing. Stock +3.93% on approval day, retracement next day profit-taking.",US-LISTED,NASDAQ
"Moderna Inc.",MRNA,mRNA-1010 (mFlusiva),mRNA-1010,Seasonal influenza vaccine - adults 50+,BLA,2026-08-05,BLA,Standard,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000057/exhibit9912026q1pressrelea.htm,https://www.contagionlive.com/view/moderna-provides-update-on-mrna-vaccine-pipeline,Verified,"PDUFA Aug 5 2026 per Moderna Q1 2026 8-K press release exhibit 99.1 and SEC filing. mRNA-1010 is Moderna's seasonal flu mRNA vaccine; filings under review in EU/Canada/Australia. CRL risk low: VRBPAC-equivalent not required for flu but standard review.",US-LISTED,NASDAQ
"Viridian Therapeutics",VRDN,Veligrotug,veligrotug,Thyroid eye disease (TED),BLA,2026-06-30,BLA,Priority,https://novapharmanews.com/regulatory/pdufa-calendar,https://www.marketshost.com/news/articles/upcoming-fda-pdufa-decision-dates,Verified - secondary source - PDUFA disclosed via company press release aggregated in calendar,"Breakthrough + Priority designations. TED is competitive (Tepezza). PDUFA Jun 30 2026 per calendar compiling SEC 8-K disclosures. Flag for manual verification of primary press release.",US-LISTED,NASDAQ
