candidate_id,year,official_nmes,enumerated_nme_comparable,gap_size,candidate_application,candidate_label,evidence_mechanism,primary_source_urls,status,notes
GAP-1965-00,1965,18,11,7,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 18 NMEs vs 11 enumerated TYPE 1/1-4 payload rows (delta 7). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1966-00,1966,10,7,3,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 10 NMEs vs 7 enumerated TYPE 1/1-4 payload rows (delta 3). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1967-00,1967,16,13,3,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 16 NMEs vs 13 enumerated TYPE 1/1-4 payload rows (delta 3). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1968-00,1968,14,4,10,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 14 NMEs vs 4 enumerated TYPE 1/1-4 payload rows (delta 10). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1969-00,1969,5,8,-3,,,NO_GAP,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,CLOSED,Official 5 NMEs vs 8 enumerated TYPE 1/1-4 payload rows (delta -3). No shortfall against the official series for this year.
GAP-1970-00,1970,15,11,4,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 15 NMEs vs 11 enumerated TYPE 1/1-4 payload rows (delta 4). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1971-00,1971,12,7,5,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 12 NMEs vs 7 enumerated TYPE 1/1-4 payload rows (delta 5). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1972-00,1972,10,7,3,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 10 NMEs vs 7 enumerated TYPE 1/1-4 payload rows (delta 3). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1973-00,1973,14,11,3,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 14 NMEs vs 11 enumerated TYPE 1/1-4 payload rows (delta 3). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1974-00,1974,21,16,5,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 21 NMEs vs 16 enumerated TYPE 1/1-4 payload rows (delta 5). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1975-00,1975,20,9,11,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 20 NMEs vs 9 enumerated TYPE 1/1-4 payload rows (delta 11). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1976-01,1976,22,21,1,NDA050495,amikacin (Amikin) injection,MECHANISM_PROVEN_NO_SUBMISSION_HISTORY,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050495%22|https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050495,NAMED_CANDIDATE_NOT_ADDED,"Named from NCATS Inxight Drugs (NIH) 'First approved in 1976' for amikacin, then probed live on both FDA surfaces (V21-C06/V21-C07): the openFDA record exists with NO submissions array and the Drugs@FDA page has no approval-history section, so no ORIG/AP year query can ever return it. NOT added to the decision table: FDA publishes no approval date, class or priority for it, and the project never fills those in. The 1976 gap is sized 1 (22 official NMEs vs 21 enumerated), so amikacin is a candidate for that single slot, not a confirmed identity - confirming it needs the contemporaneous record."
GAP-1977-00,1977,25,17,8,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 25 NMEs vs 17 enumerated TYPE 1/1-4 payload rows (delta 8). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
GAP-1978-00,1978,17,18,-1,,,NO_GAP,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,CLOSED,Official 17 NMEs vs 18 enumerated TYPE 1/1-4 payload rows (delta -1). No shortfall against the official series for this year.
GAP-1979-00,1979,14,13,1,,,NO_CANDIDATE_NAMEABLE_FROM_PUBLIC_FDA_DATA,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,UNRESOLVED_NEEDS_1989_CDER_TYPESCRIPT,"Official 14 NMEs vs 13 enumerated TYPE 1/1-4 payload rows (delta 1). The v20 full-Drugs@FDA-database cross-check proved 0 payload-invisible originals for 1977-1979, so the missing NMEs sit in applications no longer present anywhere in modern FDA databases; naming them requires the 1989 CDER 'Offices of Drug Evaluation: Statistical Report' (FDA History Office Files) or the contemporaneous annual report."
